source,target,kind,labels
POWER CONVERSION SYSTEM,PUMPING SYSTEM,,Functional
POWER CONVERSION SYSTEM,BREEDING BLANKET,,Functional
PLASMA,DIAGNOSTICS,,Information
DIAGNOSTICS,PLASMA CONTROL SYSTEM,,Information
PLASMA CONTROL SYSTEM,PF COILS,,Information
PLASMA CONTROL SYSTEM,TF COILS,,Information
PLASMA CONTROL SYSTEM,CENTRAL SOLENOID,,Information
PLASMA CONTROL SYSTEM,STABILIZING COILS,,Information
PLASMA CONTROL SYSTEM,HEATING SYSTEM,,Information
PLASMA CONTROL SYSTEM,FUELING SYSTEM,,Information
PLASMA CONTROL SYSTEM,PUMPING SYSTEM,,Information
PLASMA CONTROL SYSTEM,DIAGNOSTICS,,Information
TF COILS,PLASMA CONTROL SYSTEM,,Information
PF COILS,PLASMA CONTROL SYSTEM,,Information
CENTRAL SOLENOID,PLASMA CONTROL SYSTEM,,Information
STABILIZING COILS,PLASMA CONTROL SYSTEM,,Information
HEATING SYSTEM,PLASMA CONTROL SYSTEM,,Information
FUELING SYSTEM,PLASMA CONTROL SYSTEM,,Information
PUMPING SYSTEM,PLASMA CONTROL SYSTEM,,Information
DIVERTOR,DIAGNOSTICS,,Information
VACUUM VESSEL,DIAGNOSTICS,,Information
BREEDING BLANKET,DIAGNOSTICS,,Information
HEATING SYSTEM,DIAGNOSTICS,,Information
FUELING SYSTEM,DIAGNOSTICS,,Information
PUMPING SYSTEM,DIAGNOSTICS,,Information
FIRST WALL,WALL COOLING SYSTEM,,Information
DIVERTOR,WALL COOLING SYSTEM,,Information
BREEDING BLANKET,WALL COOLING SYSTEM,,Information
BREEDING BLANKET,POWER CONVERSION SYSTEM,,Information
WALL COOLING SYSTEM,PLASMA CONTROL SYSTEM,,Information
WALL COOLING SYSTEM,POWER CONVERSION SYSTEM,,Information
POWER CONVERSION SYSTEM,WALL COOLING SYSTEM,,Information
BREEDING BLANKET,TRITIUM PROCESSING SYSTEM,,Information
TRITIUM PROCESSING SYSTEM,FUELING SYSTEM,,Information
FUELING SYSTEM,TRITIUM PROCESSING SYSTEM,,Information
TRITIUM PROCESSING SYSTEM,PLASMA CONTROL SYSTEM,,Information
CRYOSTAT,TF COILS,,Information
CRYOSTAT,PF COILS,,Information
CRYOSTAT,CENTRAL SOLENOID,,Information
CRYOSTAT,STABILIZING COILS,,Information
CRYOSTAT,PLASMA CONTROL SYSTEM,,Information
POWER CONVERSION SYSTEM,PLASMA CONTROL SYSTEM,,Information
HEATING SYSTEM,POWER CONVERSION SYSTEM,,Information
PLASMA CONTROL SYSTEM,POWER CONVERSION SYSTEM,,Information
